Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;
SOIL_10042;466.00;524.00;363.00;415.00;468.00;526.00;427.00;412.00;466.00;532.00;0.09;2.36;0.63;176.56;202.71;51.77;177.01;1.00;3.77;0.23;16.10;332.00;386.00;2.36;6.15;;;
SOIL_10047;463.00;520.00;361.00;411.00;462.00;523.00;418.00;408.00;458.00;527.00;0.10;3.13;0.63;181.81;211.01;51.29;182.77;0.99;4.98;0.24;20.75;330.00;381.00;3.13;7.57;;;VERSION INFORMATION:
SOIL_10048;463.00;522.00;362.00;414.00;464.00;524.00;411.00;407.00;455.00;527.00;0.10;2.59;0.60;171.54;229.41;51.57;196.31;0.87;4.32;0.24;18.21;331.00;383.00;2.59;6.93;;;
SOIL_10053;463.00;520.00;364.00;415.00;467.00;526.00;413.00;408.00;460.00;529.00;0.08;2.42;0.64;182.37;197.70;48.79;171.67;1.06;3.79;0.24;15.97;328.00;381.00;2.42;6.12;;;Geoworks V1.6R1
SOIL_10055;467.00;530.00;359.00;411.00;461.00;522.00;394.00;402.00;445.00;520.00;0.11;2.13;0.55;157.70;266.93;56.32;226.31;0.70;3.86;0.24;16.24;338.00;390.00;2.13;6.32;;;
SOIL_10062;464.00;523.00;364.00;415.00;466.00;526.00;428.00;412.00;462.00;531.00;0.08;2.24;0.65;187.23;196.87;51.39;172.54;1.09;3.47;0.24;14.40;334.00;384.00;2.24;5.50;;;PARTYsoc V2.0
SOIL_10062BIS;465.00;524.00;365.00;416.00;467.00;526.00;431.00;412.00;462.00;532.00;0.07;2.17;0.65;186.19;198.71;47.31;171.55;1.09;3.36;0.24;14.04;335.00;384.00;2.17;5.38;;;Cécillon et al,2021
SOIL_10089;471.00;526.00;360.00;409.00;461.00;523.00;453.00;418.00;474.00;537.00;0.07;3.82;0.67;197.24;176.56;50.71;157.38;1.25;5.66;0.24;23.33;333.00;387.00;3.82;8.27;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
SOIL_10090;471.00;524.00;359.00;408.00;461.00;523.00;450.00;417.00;470.00;534.00;0.09;4.00;0.67;200.58;184.64;51.16;163.52;1.23;5.94;0.25;24.04;330.00;387.00;4.00;8.55;
SOIL_10091;467.00;523.00;362.00;414.00;465.00;525.00;432.00;412.00;464.00;531.00;0.11;2.85;0.62;182.35;225.08;51.65;193.21;0.94;4.61;0.24;18.87;333.00;386.00;2.85;7.28;
SOIL_10092;469.00;524.00;359.00;409.00;461.00;523.00;446.00;415.00;469.00;533.00;0.10;4.41;0.67;200.12;191.11;50.42;167.80;1.19;6.58;0.25;26.52;329.00;385.00;4.41;9.45;
SOIL_10093;466.00;520.00;362.00;414.00;465.00;523.00;423.00;411.00;466.00;532.00;0.12;3.92;0.63;182.89;206.50;52.20;180.02;1.02;6.17;0.24;25.82;328.00;384.00;3.92;9.24;
SOIL_10095;465.00;518.00;360.00;411.00;463.00;523.00;420.00;408.00;460.00;528.00;0.11;4.03;0.65;191.12;201.02;49.64;174.56;1.09;6.19;0.24;25.41;325.00;380.00;4.03;9.16;
SOIL_10097;470.00;525.00;365.00;417.00;469.00;528.00;435.00;413.00;463.00;532.00;0.08;2.40;0.64;175.76;196.08;47.09;169.51;1.04;3.77;0.23;16.43;337.00;389.00;2.40;6.05;
SOIL_10101;463.00;520.00;364.00;416.00;467.00;525.00;414.00;410.00;464.00;532.00;0.10;2.92;0.63;180.34;207.61;53.25;181.41;0.99;4.65;0.24;19.49;331.00;383.00;2.92;7.28;
SOIL_10163;461.00;521.00;362.00;411.00;461.00;523.00;405.00;404.00;447.00;520.00;0.10;3.01;0.63;197.36;227.66;55.23;197.13;1.00;4.76;0.26;18.41;332.00;378.00;3.01;7.31;
SOIL_10167;459.00;516.00;363.00;414.00;464.00;523.00;401.00;404.00;449.00;522.00;0.10;2.92;0.61;181.81;227.95;52.66;195.87;0.93;4.75;0.25;19.34;327.00;378.00;2.92;7.51;
