Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;475.00;505.00;435.00;483.00;522.00;551.00;517.00;468.00;514.00;565.00;0.28;10.34;0.95;381.06;24.05;9.59;22.97;16.59;10.92;0.33;32.71;409.00;439.00;10.34;12.98;47.44;52.56;44.19;;;
IFP 160K_02;475.00;505.00;436.00;483.00;522.00;550.00;516.00;467.00;513.00;565.00;0.27;10.34;0.95;381.35;23.67;8.86;22.27;17.12;10.91;0.33;32.68;409.00;439.00;10.34;12.95;47.44;52.56;44.17;;;VERSION INFORMATION:
IFP 160K_03;475.00;505.00;434.00;481.00;521.00;550.00;518.00;468.00;514.00;565.00;0.29;10.46;0.95;384.66;23.84;9.77;22.92;16.78;11.06;0.34;32.77;409.00;439.00;10.46;13.06;47.49;52.51;44.30;;;
IFP 160K_04;475.00;505.00;435.00;482.00;521.00;550.00;518.00;468.00;514.00;565.00;0.27;10.32;0.95;383.78;23.30;9.15;22.18;17.31;10.89;0.34;32.40;409.00;439.00;10.32;12.85;47.53;52.47;44.22;;;Geoworks V1.6R2
IFP 160K_05;476.00;506.00;433.00;480.00;520.00;550.00;517.00;468.00;514.00;565.00;0.27;10.38;0.95;383.97;23.38;9.69;22.54;17.03;10.96;0.34;32.57;410.00;439.00;10.38;12.93;47.60;52.40;44.04;;;
IFP 160K_06;475.00;505.00;436.00;483.00;522.00;550.00;519.00;468.00;514.00;565.00;0.28;10.26;0.95;384.08;22.93;8.77;21.69;17.71;10.83;0.34;32.21;409.00;439.00;10.26;12.78;47.53;52.47;44.22;;;PARTYsoc V2.0
SOIL_9107;462.00;519.00;354.00;406.00;457.00;517.00;467.00;422.00;472.00;543.00;0.05;0.82;0.52;135.20;243.81;61.95;212.72;0.64;1.58;0.22;7.33;332.00;386.00;0.82;2.40;74.93;25.07;30.31;;;Cécillon et al,2021
SOIL_9108;490.00;557.00;340.00;390.00;444.00;511.00;506.00;453.00;503.00;553.00;0.11;0.65;0.32;85.43;369.36;94.85;322.82;0.26;2.02;0.22;9.16;353.00;406.00;0.65;3.09;72.05;27.95;26.10;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
SOIL_9109;468.00;524.00;354.00;402.00;453.00;515.00;479.00;426.00;474.00;542.00;0.04;0.95;0.59;149.45;192.34;55.97;171.86;0.87;1.60;0.21;7.63;332.00;388.00;0.95;2.25;65.48;34.52;35.51;
SOIL_9110;471.00;538.00;350.00;401.00;453.00;517.00;487.00;434.00;487.00;546.00;0.07;0.94;0.45;102.15;232.61;73.38;211.10;0.48;2.07;0.19;11.04;326.00;383.00;0.94;3.06;70.25;29.75;24.75;
