Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;;;
IFP 160K_01;473;504;434;481;520;550;521;471;518;567;0.27;10.32;0.95;377.52;23.56;9.53;22.58;16.72;10.92;0.33;32.95;408;437;10.32;12.96;47.31;52.69;44.52;;;
IFP 160K_02;474;505;434;481;521;550;528;473;519;568;0.27;10.32;0.95;378.86;23.22;9.59;22.36;16.94;10.91;0.33;32.84;408;439;10.32;12.97;47.46;52.54;44.26;;;VERSION INFORMATION:
IFP 160K_03;473;504;434;481;521;550;526;473;519;569;0.28;10.25;0.94;378.73;23.76;9.56;22.74;16.65;10.87;0.33;32.64;407;437;10.25;12.93;47.27;52.73;44.46;;;
IFP 160K_04;474;504;434;481;520;550;525;472;518;568;0.28;10.39;0.94;380.16;23.82;9.58;22.8;16.67;11;0.33;32.95;408;438;10.39;13.06;47.3;52.7;44.5;;;Geoworks V1.6R2
IFP 160K_04BIS;473;503;436;483;523;551;533;471;521;572;0.28;10.25;0.95;373.74;22.38;8.76;21.28;17.56;10.83;0.33;33.05;406;436;10.25;12.83;47.27;52.73;44.46;;;
IFP 160K_05;475;505;432;478;519;550;536;472;521;572;0.29;10.2;0.94;371.16;25.46;10.78;24.67;15.04;10.84;0.33;33.13;408;438;10.2;12.93;47.45;52.55;44.25;;;PARTYsoc V2.0
IFP 160K_06;474;504;433;479;521;551;536;471;521;572;0.29;10.28;0.94;377.14;25.39;10.31;24.36;15.48;10.91;0.33;32.87;407;437;10.28;12.99;47.27;52.73;44.46;;;Cécillon et al,2021
IFP 160K_07;476;506;432;479;519;550;536;472;521;572;0.29;10.33;0.94;376.61;24.98;9.47;23.58;15.97;10.95;0.33;33.08;408;439;10.33;12.99;47.6;52.4;44.11;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
IFP 160K_08;475;505;433;480;521;551;534;473;522;573;0.29;10.36;0.94;377.35;24.78;9.63;23.52;16.04;10.96;0.33;33.1;408;438;10.36;13.01;47.45;52.55;44.25;;;
SOIL_17869;464;525;347;396;449;514;504;436;488;546;0.06;1.19;0.51;129.36;232.09;72.19;210.05;0.62;2.34;0.21;11.08;326;381;1.19;3.35;60.85;39.15;16.57;;;
SOIL_17870;464;526;347;395;449;514;492;434;487;545;0.07;1.04;0.49;125.41;243.17;75.96;220.25;0.57;2.12;0.21;10;327;382;1.04;3.03;65.52;34.48;25.33;;;
SOIL_17871;468;531;349;397;451;515;500;438;491;547;0.06;1.01;0.49;122.2;243.13;73.88;219.04;0.56;2.09;0.21;10.01;328;384;1.01;3.11;65.61;34.39;23.37;;;
SOIL_17872;466;526;351;399;451;516;490;435;487;545;0.07;1.33;0.52;134.59;228.53;73.85;208.4;0.65;2.56;0.21;11.9;330;384;1.33;3.76;58.49;41.51;15.48;;;
SOIL_17873;463;526;346;394;446;513;489;435;486;544;0.06;1.16;0.51;132.56;231.91;79.4;214.03;0.62;2.27;0.22;10.51;326;380;1.16;3.18;61.35;38.65;17.99;;;
SOIL_17875;465;529;346;395;448;514;505;437;489;549;0.07;1.17;0.5;118.55;218.46;70.49;199.16;0.6;2.35;0.2;11.88;323;379;1.17;3.32;61.84;38.16;17.02;;;
SOIL_17879;473;529;355;407;462;523;504;443;499;557;0.1;2.02;0.56;156.86;241.57;64.99;212.82;0.74;3.62;0.23;15.49;334;391;2.02;5.76;58.34;41.66;31.18;;;
SOIL_17964;502;558;355;405;461;526;518;452;510;561;0.11;1.87;0.52;134.72;227.68;67.65;204.24;0.66;3.56;0.21;16.71;360;421;1.87;5.77;58.85;41.15;30.61;;;
SOIL_17965;497;556;359;407;461;524;531;461;516;565;0.1;1.07;0.45;110.06;242.42;83.55;224.05;0.49;2.37;0.2;11.69;351;410;1.07;3.81;76.56;23.44;22.52;;;
