"id","TCaCO3","TC_CaCO3","TC_CHN","TOC_CHN","TOC_re6","Cstable_TOC_re6_ratio","Cstable_re6_corrCHN","Cactive_AMG_re6_corrCHN","clay_sed","sand_sed","fine_medium_silt_sed","coarse_silt_sed","texture_class"
24558,238,28.56061826211196,46.793,18.23238173788804,14.58,0.6221,11.34236467914015,6.89001705874789,385.8,66.2,462.1,85.9,"silty_clay_loam"
9363,436.241135662545,52.35006952053843,94.4,42.04993047946158,24.3,0.387582743666295,16.29782742620668,25.75210305325489,403.5,85.8,411.1,99.6,"silty_clay_loam"
22703,1,0.1200025977399662,14,13.87999740226003,8.32,0.6811,9.453666230679307,4.426331171580723,114.4,718.6,95.5,71.4,"loamy_sand"
622,0,0,13.6,13.6,,0.560512985,7.622976596,5.977023404,808.2,4.3,64.2,123.3,"clay"
629,0,0,14.9,14.9,,0.5333221118,7.946499465820001,6.95350053418,353.5,35.1,89,522.4,"silty_clay_loam"
17869,1,0.1200025977399662,13.3,13.17999740226004,11.08,0.6085,8.020028419275235,5.159968982984806,295.3,61.7,281.7,361.4,"silty_clay_loam"
636,0,0,13.4,13.4,,0.5807995707,7.78271424738,5.61728575262,298.9,32.7,201.9,466.5,"silty_clay_loam"
10911,2,0.2400051954799325,12,11.75999480452007,10.78,0.6432,7.56402865826731,4.195966146252761,168.5,247.4,313.1,271.1,"silt_loam"
17872,9,1.080023379659696,14.4,13.3199766203403,11.9,0.5849,7.790854325237041,5.529122295103259,274.3,110.3,301.4,314,"silty_clay_loam"
10530,3,0.3600077932198987,8.1,7.739992206780101,7.5,0.710551675,5.499664427014547,2.240327779765553,153.5,473.4,128.9,244.2,"sandy_loam"
756,0,0,9.3,9.3,,0.6625499963,6.161714965590001,3.13828503441,401,97.9,185.7,315.4,"silty_clay"
898,693.7,83.2458020522146,94.2,10.95419794778542,,0.5340472752000001,5.850059566016236,5.104138381769181,586.7,191.8,89.2,132.3,"clay"
917,807.7,96.92609819457071,110.6,13.67390180542927,,0.4994895182,6.829970624707976,6.843931180721293,536.9203349,13.92041339,159.5476771,289.6115746000001,"silty_clay"
931,491,58.92127549032342,73.2,14.27872450967659,,0.5055452773,7.218541741734757,7.06018276794183,508.1,135.5,147.6,208.8,"clay"
945,696,83.52180802701649,99.7,16.17819197298351,,0.5005002642999999,8.097189358374385,8.081002614609126,634.7,150.8,90,124.5,"clay"
959,0,0,11.5,11.5,,0.5830687077000001,6.705290138550001,4.794709861449999,372.4486471,63.95487753,57.05473055,506.5417448,"silty_clay_loam"
966,670.5,80.46174178464736,87,6.538258215352641,,0.7344192104,4.801822435910601,1.736435779442041,596.1,63.1,150.8,190,"clay"
1001,159,19.08041304065463,30.4,11.31958695934537,,0.7956136372,9.006017752326459,2.313569207018912,408.8,205.2,102.7,283.3,"clay"
10531,4,0.4800103909598649,11.4,10.91998960904013,10.3,0.600678564,6.559403677253147,4.360585931786983,241.3,72.3,374.9,311.4,"silt_loam"
17875,3,0.3600077932198987,13.4,13.0399922067801,11.88,0.6184000000000001,8.063931180672816,4.976061026107286,272.7,41.7,310.6,375,"silty_clay_loam"
9145,1,0.1200025977399662,31.3,31.17999740226004,26.9,0.458614033495857,14.29958437304082,16.88041302921922,220.4,340.8,228.7,210.1,"loam"
9146,2,0.2400051954799325,9.4,9.159994804520068,8.4,0.652029447023779,5.972586347131908,3.18740845738816,99.8,483.8,125,291.5,"sandy_loam"
10535,52,6.240135082478244,9.2,2.959864917521755,17,0.518003645,1.533220815983893,1.426644101537862,410.1,356,107.6,126.4,"clay"
17879,167,20.04043382257436,36.7,16.65956617742564,15.49,0.5834,9.719190907910118,6.940375269515521,330.2,113.5,306.7,249.6,"silty_clay_loam"
763,0,0,13.4,13.4,,0.5590646618999999,7.491466469459999,5.908533530540002,251.6,248.8,353.4,146.2,"loam"
905,768.8,92.25799714248603,103,10.74200285751397,,0.4977900671,5.347262323230271,5.394740534283699,499,153.3,137.3,210.4,"clay"
924,544.5,65.34141446941162,78.2,12.85858553058838,,0.5161170521,6.636535258222989,6.222050272365393,602.6,126.7,105.5,165.1,"clay"
938,123.9,14.86832185998181,26.7,11.83167814001818,,0.7104902994,8.406292544105952,3.425385595912228,552.4,52.7,164.9,230,"clay"
952,0,0,12.5,12.5,,0.5872435206000001,7.340544007500001,5.159455992499999,336.1134159,71.55732311,131.1121284,461.2171326,"silty_clay_loam"
994,323,38.76083907000909,50.9,12.13916092999091,,0.6228696923,7.56111543324362,4.578045496747289,171,437.1,85.7,306.2,"loam"
1008,98.3,11.79625535783868,30.8,19.00374464216132,,0.5774020588000001,10.97280128129342,8.030943360867905,342.7,350.5,78.4,228.4,"clay_loam"
1029,414.3,49.717076243668,55.8,6.082923756331986,,0.741710614,4.511769114224184,1.571154642107802,391.1,99.9,168.8,340.2,"silty_clay_loam"
1043,498.1,59.77329393427718,71.9,12.12670606572282,,0.5382605607000001,6.527327606380057,5.599378459342764,585.4835091,53.17478124,259.2551043,102.0866053,"clay"
1057,64.4,7.728167294453826,23.3,15.57183270554618,,0.6156200745,9.586332810289877,5.985499895256303,329.2,215.5,139.7,315.6,"clay_loam"
9276,38,4.560098714118717,20.9,16.33990128588128,14.7,0.570844547,9.327543547563616,7.012357738317663,390.4,123.2,263.2,223.2,"silty_clay_loam"
9272,3,0.3600077932198987,13.4,13.0399922067801,11.5,0.680920298,8.879195379358384,4.160796827421717,351.8,76,308.3,263.9,"silty_clay_loam"
9275,26,3.120067541239122,17.8,14.67993245876088,13.6,0.574994072,8.44087414114789,6.23905831761299,363.4,91.4,294.9,250.3,"silty_clay_loam"
9280,3,0.3600077932198987,17.8,17.4399922067801,15,0.578695727,10.09244896897695,7.347543237803155,330.1,260.3,250.7,158.9,"loam"
9274,5,0.6000129886998311,11.2,10.59998701130017,9.8,0.621499283,6.587884327332369,4.012102683967801,153.2,620.1,119.8,106.9,"sandy_loam"
9278,1,0.1200025977399662,12,11.87999740226003,10.7,0.676353385,8.035076456809778,3.844920945450252,238,435.4,181.1,145.5,"loam"
9283,202,24.24052474347318,44,19.75947525652682,19.8,0.560996679,11.08499999769422,8.674475258832599,189,118.2,477.1,215.7,"silt_loam"
10044,92.8476011429289,11.14195333107572,44,32.85804666892427,31.5,0.462290614451708,15.1899665842599,17.66808008466437,293.4,208.3,393.6,104.6,"clay_loam"
9130,1,0.1200025977399662,18.9,18.77999740226003,18.2,0.478900319284408,8.993746752102682,9.786250650157347,215.2,289.1,222.2,273.5,"loam"
9277,1,0.1200025977399662,5.5,5.379997402260034,5,0.684688536,3.683622545037226,1.696374857222808,65,856.3,42.6,36.1,"sand"
10616,5.61175231887955,0.6734248561388254,27.3,26.62657514386117,24.36,0.5264,14.01622915572852,12.61034598813265,597.5,22.9,267.4,112.2,"clay"
