id,batch_number
1071,200904 GB Soils
1155,200904 GB Soils
1176,200904 GB Soils
1627,200904 GB Soils
721,200916 GB Soils
863,200916 GB Soils
1617,200916 GB Soils
791,201202 GB Soils
2919,201202 GB Soils
2939,201202 GB Soils
3018,201202 GB Soils
3366,201202 GB Soils
3743,201202 GB Soils
2573,201217 GB Soils
2670,201217 GB Soils
3095,201217 GB Soils
3533,201217 GB Soils
4883,210528 GB Soils
5639,210528 GB Soils
5653,210528 GB Soils
6003,210528 GB Soils
6301,210616 GB Soils
6336,210616 GB Soils
7010,210803 GB Soils
9365,211210 GB Soils
10091,211210 GB Soils
10332,211213 GB Soils
10149,220128 GB Soils
17955,220129 GB Soils
11043,220214 GB Soils
11056,220214 GB Soils
11229,220214 GB Soils
17919,220214 GB Soils
17967,220214 GB Soils
18000,220214 GB Soils
11520,220216 GB Soils
10970,220228 GB Soils
11367,220228 GB Soils
11761,220308 GB Soils
17893,220308 GB Soils
18254,220316 GB Soils
18263,220316 GB Soils
18605,220316 GB Soils
18663,220404 GB Soils
22249,220404 GB Soils
22334,220404 GB Soils
23087,220419 GB Soils
23187,220419 GB Soils
23234,220419 GB Soils
23166,220420 GB Soils
23792,220420 GB Soils
24352,220422 GB Soils
24318,220427 GB Soils
24334,220427 GB Soils
