"sample_id","TN_CHN","TC_CHN"
31508,1.8,46.8
31492,2.7,59
31493,1.5,19.7
32424,0.56,14.8
31490,1.6,31.2
32423,1.73,40.2
31500,2.6,38.4
32425,0.89,18.7
31494,3.1,78.4
1900,1.00511975586414,9.9083286523819
2635,2.8,49.518
11590,1.5,111.2
31501,5.5,63.7
2732,2.327,36.471
2830,1.54,14.5
23261,0.8,6.8
32427,1.6,40.8
32426,2.17,42.5
31502,2.9,42.9
3032,2.33954817056656,26.528
3039,1.42,13
3530,2.26,64.2
3533,2.3,39.503
31505,2.2,30.8
31507,1.3,21.6
3663,1.22,12.4
3670,1.28,12
1092,2.1,40.5
4162,1.07,11.7
4792,0.179,38.7
25081,0.7,8.32
26222,1.6,31.4
4813,0.156,84.9
25085,1.1,82.6
25086,1.4,66.8
32443,2.48,61.5
33847,0.81,8.51
4841,0.125,25.8
25088,1.1,82.7
32445,0.92,21.4
32446,1.11,33.4
4848,0.193,66.7
30733,2.4,48.1
30737,2.4,48.9
4869,0.202,69.9
4883,2.15,34.4
30741,2.4,49
1689,5.5,57.8
1696,3.3,36.6
5059,3,35.9
5066,1.3,14
5074,2.7,30.6
2482,1.6,22.3
5081,0.216,18.2
5088,0.167,15
5172,1.9,82.7
5141,0.3,27.6
5148,0.309,26.3
5181,2.7,39.2
5188,1.8,22.8
5251,1.9,19.3
25089,1.5,67.2
25090,0.7,8.3
32438,1.44,24.5
32440,2.17,45.4
5296,2,18.7
5303,1.7,17
5310,1.8,17
25091,1.1,81.1
2601,2.5,33.1
2615,0.99,10.9
5317,1.6,14.7
5352,0.213,20.6
5359,0.237,22.7
2670,2.254,64.325
2684,2.519,67.354
5366,0.184,18.2
2725,1.3,13.2
2739,2.3,29.992
5373,0.192,18.6
5380,0.203,19.7
32435,2.02,38
5422,2.1,21.7
5429,2.2,21.1
5436,2.5,24.3
32441,2.35,40.4
3095,2.26,63.941
3120,1.2,11.7
5463,3.3,32.8
5470,3.7,36.6
3116,2.197,60.179
3130,1.1,12
3607,2.11,27.9
5484,1.9,25.1
5491,2.3,94.1
1057,1.9,23.3
3633,1.74,16.6
3642,1.69,16.6
1001,1.5,30.4
4127,1.04,10.9
4169,1.26,13.4
5575,1.4,13.4
5653,0.9,10.3
17967,1.8,17.2
5765,2.4,24.5
5772,2.6,23.2
11124,1.5,16.6
707,1.1,10.4
5823,1.5,15.8
5845,1.4,16.6
31480,1.6,41.8
32442,1.02,23.4
5872,1,9.7
5905,3.1,30.5
5912,3.6,37.3
31486,1.8,44.7
5968,3,29.8
5975,4.1,37.9
31487,1.7,37.8
31488,1.6,42
31513,1.4,31.3
1190,2.3,84.7
1303,1.7,72
6003,3.6,32.9
31514,1.4,34
32415,1.53,54.9
770,1.7,19.1
6010,4.8,47.1
6017,3.4,46.2
32411,1.01,23.5
32413,1.79,51.8
6086,1.1,10.4
6287,1.3,12.8
1071,1.1,10.6
6343,1.5,28.3
6350,0.9,7.8
6357,1,11
32433,1.71,30.4
32434,1.94,32.5
1078,1.4,14.2
6406,1.3,20.6
6925,1.51544108986855,12.5092959403992
33977,1.1,11.1
33980,1.3,11
6989,2.08216935396194,77.9250717163086
25932,1.8,68.3
33877,1.4,20.1
1134,3.3,71.2
7358,1,10.15
7360,1,10.49
26769,1.3,13.8
33890,3,42
812,1.3,10.8
819,1.1,10.6
5230,2.8,33.8
7366,1,10.07
32436,2.31,33.7
32437,2.08,38.4
32439,1.63,32.5
856,1.5,13.9
5879,1,9.3
7368,1,10.2
9107,0.9,8.9
33879,2.1,26.6
33882,2.2,32
33887,2.2,33.2
9129,2.5,22.2
33888,1.8,26.1
33891,2.5,37.2
33892,1.5,21.4
33981,0.78,7.39
33982,0.98,9.53
33983,0.88,7.77
9144,1.6,14.4
32444,1.76,35.1
1162,1.2,12.1
9249,1.3,10.2
11215,1.9,73.7
11296,2.1,60.5
11299,2.1,69.1
17914,1,10.2
17917,1.7,68
24318,1.002,64.324
1176,2,48.2
9254,1.2,12.4
9255,1,8.7
25962,1.4,35
26017,2.3,75.5
26056,1.2,13.8
30362,0.79,8.93
30370,1.5,64.8
9274,1.2,11.2
32428,1.55,27.2
32429,2.93,42.1
32432,1.33,18
32430,1.35,21.8
32431,2.24,48.1
32419,1.48,30.4
1366,1.8,17.5
9360,2.7,29.4
32421,1.72,34
32422,1.28,39.1
32451,0.62,16.6
32452,1.05,22.4
32453,0.92,20.4
32418,0.67,19
32417,0.97,34.7
32420,0.81,29.9
32416,1.16,38.3
9366,3.3,72.8
32449,1.06,21.7
1631,2.5,24
9402,2.8,27.6
9403,2.6,26.6
9404,2.7,53.4
1654,6.8,72.9
1662,2.6,25.5
1668,3.1,39.8
9405,5.3,51.9
9407,3.4,45.5
9408,2.8,27.1
9409,2.5,49.5
9662,2.4,44.1
9664,1.9,15.7
9666,2.8,26.7
9670,2.3,20.5
9898,4.4,55.5
945,2.3,99.7
2779,1.39,14.4
2788,1.45,14.5
5716,1.7,17
10047,2.9,43.8
2795,1.5,18.4
2807,1.3,14.3
10053,2.3,50.5
10089,2.9,58.2
10091,3,44.2
10104,2.7,58.6
10229,1.3,12.7
10282,3.7,84.1
10334,1.9,31.9
10518,1,9.6
10519,1.2,10.9
10530,0.7,8.1
10633,1.5,15.6
10691,1,11.8
10896,1.4,21.1
10927,1.1,12.3
10928,1.3,14
26081,2.5,62.5
11226,1.8,19.9
11229,1.6,42
11367,3.3,35
11510,1.9,72.5
11516,1.8,52.8
11517,1.7,70.4
11520,1.2,12.6
11518,1.7,20.8
11550,1.2,96.2
11548,2,83.5
11549,2.8,88.3
11585,2.2,60.1
11587,2,50.1
10975,1.6,15.8
11741,1,9.5
10982,1.6,15.9
10983,1.5,13.5
11776,1.8,21.1
10989,1.3,12.8
11779,1.3,18.7
26382,1.1,34.8
11781,2,36
11812,1.6,16.4
18602,1.5,12
11818,1.5,15.2
11824,1.1,13.1
9135,1.8,14.6
17870,1.3,11.1
17871,1.3,11.7
9275,1.5,17.8
17885,0.9,14.1
17887,0.9,12.3
17890,0.9,11.6
3224,1.7,18.2
17897,1.7,25.8
17918,2.3,84.2
17920,1.7,41.2
17921,1.5,23
17930,2,40.2
17931,1.3,12.8
17944,1.9,75.8
11074,2.4,27.5
17953,1.3,40.5
17954,2.2,66.1
17955,1.5,49.6
9276,1.7,20.9
9278,1.3,12
9279,1.4,12.1
17956,1.5,19.1
17957,1.7,92.5
9280,1.9,17.8
11091,2.4,50.2
11092,0.9,11.1
17958,1.7,96
17959,1.6,64.1
9281,0.7,6.5
9282,1.4,16.2
9283,2.6,44
17961,2,66.2
17962,2.8,78.8
11102,1.3,13.1
17966,1.5,16
17969,1.6,95
17970,2.2,74.9
30368,1.6,64.2
9284,1.2,11.2
9286,1.1,10.8
17972,2.1,49.3
17973,1.5,78.5
30375,2.3,85.5
9288,1.5,15.2
17974,1.7,37.8
11139,2.8,71.8
11141,4.2,50.5
17981,2,40.1
17982,2.2,43.5
30261,1.1,41.2
17984,1.8,66.1
17985,3.1,75
17986,2,50.6
30276,2.3,102
9295,1.4,15
9302,1.3,14.4
17988,1.8,21.2
17989,1.2,42.3
17990,1.2,61
17993,1.8,46.4
29284,1.7,13.3
18002,2,56.1
25207,2,53.3
30287,2.7,116
30424,1.1,11.7
10131,1,10.3
18006,2.8,94.2
18008,2.6,88.9
18011,2.2,55
18015,1.5,74.5
25215,3,38.4
25216,2.9,43.7
30478,2.4,64.7
10133,0.9,9.7
18016,1.9,62.5
18017,2,67.5
18019,2.7,78.3
10132,0.8,8.8
10135,0.7,7.7
18020,2.5,62.4
18021,2.5,71.1
18025,1.6,100.1
10136,0.6,7.2
18046,1.8,18.7
10146,0.6,6.5
10722,2.2,32.1
10723,2.5,39
10726,1.5,24.4
6273,1.6,19.8
18212,1,10.7
18213,1.6,15.7
18219,2.4,23.3
18240,1.2,12
30306,2.1,90.5
9108,1.2,9.9
18250,2.2,32.9
10727,1.5,15.8
18539,2.8,51.9
18540,1.5,18.6
18541,2.6,67.3
10730,2.5,46.6
18566,1.2,12
18567,1.6,18.9
18568,1.1,11
22284,0.9,9.1
25743,2.2,22
22309,1.12,11.6
22311,1.3,13.4
22343,1.5,18
22346,2,21.1
22703,1.5,14
28372,7.4,162
30537,2.2,30.8
17977,2.5,43.4
23083,1.2,11.6
26724,2.1,21.6
30204,1.8,78.3
23092,1.3,11.8
30569,1.7,82.2
23140,1.9,15.6
23192,1.6,13.4
23207,1.6,12.5
23209,1.5,12.3
23211,2.2,24.1
23223,2.4,41.7
23256,1,8.7
23257,1.1,9.6
23260,1.3,10.2
24247,1.4,95.7
24262,2,44.4
24307,1.77,68.91
30543,1.1,11.7
24391,2.372,78.557
24403,2.751,74.625
24415,2.443,56.022
24453,0.99,9.93
25084,0.7,8.6
25092,1.4,66.4
25355,2.5,26.8
25363,2.7,52.9
25364,3.1,44.8
25365,1.8,31.4
9287,1.2,10.8
25163,2.8,35.2
26103,1.8,67.1
26243,1.2,66.6
26255,1.4,46.2
26278,2,79
26279,2.3,85
27623,3.5,54.6
28695,1.5,15.5
28698,1.2,11.9
28701,1.5,25.3
30307,1.4,49.8
30308,0.97,24.2
30312,1.9,40.4
30337,2.2,22.4
26595,2.7,34.5
29546,0.9,13
30668,1.8,73.1
30744,3.1,33.6
30771,1.5,62.6
26785,1.2,11.8
29553,0.86,14.3
30033,2.1,31.5
30685,2.3,32.5
9141,2.2,20.3
10903,1.3,12.3
10905,1.2,10.7
11605,1.4,15.8
11619,2,43.2
23253,1.3,13
23254,1.2,12.4
25149,1.1,8.76
9136,1.2,10.9
23258,0.8,7.5
25095,1.5,67.1
30223,2.5,124
30324,2,22.3
25971,1.7,38.3
26189,1.9,101
30634,2.1,67.4
30635,2.3,79.2
30636,2,39.3
26190,2.5,68
26335,2,21
30637,1.3,14
30638,2.3,63
