Analyse;T10_HC_PYR;T30_HC_PYR;T50_HC_PYR;T70_HC_PYR;T90_HC_PYR;T10_CO2_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T10_CO_PYR;T30_CO_PYR;T50_CO_PYR;T70_CO_PYR;T90_CO_PYR;T10_CO_OX;T30_CO_OX;T50_CO_OX;T70_CO_OX;T90_CO_OX;T10_CO2_OX;T30_CO2_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIre6;HI_OIre6;PC;PC_TOCre6;TOCre6;MINC;
SOIL_10044;323.04;369.04;411.71;454.83;510.26;276.10;331.47;382.76;437.76;513.52;299.23;344.75;388.05;444.11;517.81;339.25;380.74;410.00;441.75;505.76;368.51;413.02;445.77;485.20;553.96;0.14;4.03;0.68;217.13;190.98;58.52;172.33;1.26;5.95;0.27;22.42;1.40;
SOIL_10048;324.96;376.29;416.70;454.80;510.16;278.62;337.70;391.78;447.88;517.79;299.94;347.90;392.86;448.96;521.01;351.60;396.95;428.97;473.57;558.32;374.42;420.93;456.53;501.41;565.54;0.13;2.78;0.66;186.70;177.31;55.19;160.49;1.16;4.24;0.24;17.98;1.68; INFORMATION:
SOIL_10091;329.08;382.98;424.37;461.64;514.09;280.97;340.39;394.74;451.53;520.03;303.97;351.20;395.80;451.00;521.17;359.04;405.94;441.44;495.76;576.34;378.11;424.95;460.82;507.78;568.22;0.14;3.13;0.68;199.58;169.47;53.78;153.99;1.30;4.60;0.24;18.93;2.33;
SOIL_10099;325.54;375.78;418.52;458.73;510.39;280.48;337.37;389.27;445.25;515.31;306.14;351.51;394.61;450.11;520.18;354.04;398.63;429.69;472.65;560.00;375.47;421.03;455.20;499.39;563.96;0.14;5.03;0.72;229.08;159.21;52.29;145.67;1.57;6.97;0.26;26.49;1.87; V1.7R5
SOIL_10149;317.37;373.27;418.52;461.71;516.93;273.07;333.96;385.64;441.33;510.91;300.28;349.61;395.23;450.42;520.18;397.89;446.80;486.63;537.20;595.10;397.89;445.46;481.94;524.80;576.34;0.11;1.05;0.47;102.46;190.63;82.82;185.96;0.55;2.22;0.18;12.34;0.10;
SOIL_10161;310.17;357.59;403.20;450.11;504.18;275.99;331.08;381.27;436.67;512.92;300.03;348.40;395.28;452.74;522.73;352.34;394.53;422.78;457.45;538.60;371.05;415.21;448.45;490.61;558.91;0.08;3.45;0.73;232.64;149.88;50.24;137.71;1.69;4.72;0.26;17.91;1.60; V2.0
SOIL_10163;327.24;373.21;413.40;455.62;511.61;279.54;336.92;387.75;442.23;515.94;303.04;350.52;393.18;448.09;519.77;350.64;394.95;425.36;463.88;540.20;373.79;419.69;453.77;494.65;559.60;0.11;3.39;0.69;219.21;172.62;61.45;160.66;1.36;4.92;0.26;18.67;2.06; et al,2021
SOIL_10164;305.04;349.31;395.34;444.51;499.66;273.27;326.35;375.56;430.72;508.90;293.88;343.40;391.08;449.26;521.90;350.96;394.95;424.02;460.82;550.10;370.42;415.73;450.10;493.03;561.29;0.11;4.40;0.74;241.14;152.54;50.10;139.57;1.73;5.98;0.27;22.02;1.81; https://doi.org/10.5194/gmd-14-3879-2021
SOIL_10180;324.04;375.15;417.37;457.20;511.35;279.05;336.40;390.30;446.55;517.34;302.56;349.86;393.99;449.76;520.65;355.42;400.83;433.40;479.59;564.95;377.16;422.99;457.86;503.03;566.24;0.15;4.35;0.70;212.53;162.71;54.06;149.22;1.42;6.22;0.25;24.71;1.80;
SOIL_10228;323.12;373.98;414.32;452.27;501.54;278.17;338.17;389.19;443.05;510.83;306.93;357.78;403.09;457.63;523.97;384.84;431.34;469.18;524.80;588.63;386.84;431.65;465.20;510.10;569.90;0.05;0.98;0.58;132.91;155.23;69.57;152.65;0.87;1.70;0.19;8.93;0.06;
