Sample,TIC_las,TOC_las,N_las,Analyse_istep,T10_HC_PYR_istep,T30_HC_PYR_istep,T50_HC_PYR_istep,T70_HC_PYR_istep,T90_HC_PYR_istep,T10_CO2_PYR_istep,T30_CO2_PYR_istep,T50_CO2_PYR_istep,T70_CO2_PYR_istep,T90_CO2_PYR_istep,T10_CO_PYR_istep,T30_CO_PYR_istep,T50_CO_PYR_istep,T70_CO_PYR_istep,T90_CO_PYR_istep,T10_CO_OX_istep,T30_CO_OX_istep,T50_CO_OX_istep,T70_CO_OX_istep,T90_CO_OX_istep,T10_CO2_OX_istep,T30_CO2_OX_istep,T50_CO2_OX_istep,T70_CO2_OX_istep,T90_CO2_OX_istep,PseudoS1_istep,S2_istep,S2_PC_istep,HI_istep,OI_istep,OICO_istep,OIre6_istep,HI_OIre6_istep,PC_istep,PC_TOCre6_istep,TOCre6_istep,MINC_istep,Prefix_istep,TOC_istep,TIC_istep,Analyse_vt,T10_HC_PYR_vt,T30_HC_PYR_vt,T50_HC_PYR_vt,T70_HC_PYR_vt,T90_HC_PYR_vt,T10_CO2_PYR_vt,T30_CO2_PYR_vt,T50_CO2_PYR_vt,T70_CO2_PYR_vt,T90_CO2_PYR_vt,T10_CO_PYR_vt,T30_CO_PYR_vt,T50_CO_PYR_vt,T70_CO_PYR_vt,T90_CO_PYR_vt,T10_CO_OX_vt,T30_CO_OX_vt,T50_CO_OX_vt,T70_CO_OX_vt,T90_CO_OX_vt,T10_CO2_OX_vt,T30_CO2_OX_vt,T50_CO2_OX_vt,T70_CO2_OX_vt,T90_CO2_OX_vt,PseudoS1_vt,S2_vt,S2_PC_vt,HI_vt,OI_vt,OICO_vt,OIre6_vt,HI_OIre6_vt,PC_vt,PC_TOCre6_vt,TOCre6_vt,MINC_vt,Prefix_vt,TOC_vt,TIC_vt,TOC_re7,TIC_re7,C_las,delta_toc_istep_vt,delta_tic_istep_vt,C_istep,delta_toc_las_istep,delta_tic_las_istep,C_vt,delta_toc_las_vt,delta_tic_las_vt,C_re7,delta_toc_las_re7,delta_tic_las_re7
9248,0.0,9.00120496749878,1.02298982441425,SOIL_9248,314.0,374.0,417.0,460.0,525.0,286.0,341.0,391.0,445.0,513.0,304.0,348.0,393.0,452.0,524.0,322.0,361.0,399.0,470.0,550.0,314.0,369.0,410.0,469.0,537.0,0.1,0.82,0.43,127.64,342.36,63.36,285.2,0.45,1.9,0.24,7.8,0.13,SOIL,7.8,1.3,SOIL_9248,331.0,386.0,427.0,469.0,538.0,295.0,352.0,401.0,453.0,516.0,315.0,357.0,399.0,454.0,522.0,329.0,376.0,420.0,491.0,588.0,339.0,384.0,421.0,475.0,537.0,0.06,0.71,0.42,108.18,320.26,63.26,269.06,0.4,1.69,0.21,7.91,0.14,SOIL,7.91,1.4000000000000001,7.66,0.8,9.00120496749878,-0.11000000000000032,-0.10000000000000009,9.1,1.2012049674987795,-1.3,9.31,1.0912049674987792,-1.4000000000000001,8.46,1.3412049674987792,-0.8
9249,0.0,9.9208652973175,1.14745184779167,SOIL_9249,318.0,375.0,419.0,462.0,528.0,285.0,341.0,390.0,444.0,512.0,303.0,348.0,393.0,453.0,524.0,320.0,363.0,408.0,486.0,570.0,327.0,367.0,410.0,470.0,539.0,0.07,0.84,0.43,117.99,325.68,57.81,269.89,0.44,1.92,0.23,8.55,0.13,SOIL,8.55,1.3,SOIL_9249,327.0,383.0,425.0,467.0,533.0,296.0,352.0,401.0,453.0,516.0,314.0,357.0,400.0,456.0,524.0,329.0,374.0,412.0,476.0,547.0,340.0,385.0,422.0,475.0,539.0,0.06,0.77,0.43,106.82,302.25,66.11,257.6,0.41,1.82,0.21,8.74,0.14,SOIL,8.74,1.4000000000000001,8.55,0.8,9.9208652973175,-0.1899999999999995,-0.10000000000000009,9.850000000000001,1.3708652973174988,-1.3,10.14,1.1808652973174993,-1.4000000000000001,9.350000000000001,1.3708652973174988,-0.8
9255,0.0,8.02119195461273,0.83351045846939,SOIL_9255,311.0,370.0,415.0,458.0,524.0,286.0,343.0,391.0,444.0,512.0,305.0,351.0,396.0,454.0,525.0,321.0,360.0,401.0,475.0,569.0,327.0,365.0,404.0,457.0,532.0,0.07,0.84,0.49,145.15,293.75,67.23,252.06,0.58,1.71,0.24,7.0,0.11,SOIL,7.0,1.1,SOIL_9255,325.0,379.0,422.0,463.0,528.0,296.0,353.0,402.0,453.0,516.0,314.0,359.0,401.0,456.0,523.0,330.0,373.0,408.0,464.0,537.0,340.0,383.0,418.0,465.0,532.0,0.05,0.73,0.5,124.72,252.30,61.52,218.64,0.57,1.48,0.21,7.1,0.11,SOIL,7.1,1.1,7.09,0.7000000000000001,8.02119195461273,-0.09999999999999964,0.0,8.1,1.0211919546127302,-1.1,8.2,0.9211919546127305,-1.1,7.79,0.9311919546127303,-0.7000000000000001
9281,0.0,6.05510592460632,0.580556839704513,SOIL_9281,313.0,371.0,417.0,461.0,531.0,286.0,340.0,386.0,441.0,511.0,305.0,356.0,406.0,459.0,527.0,320.0,370.0,416.0,495.0,569.0,318.0,368.0,405.0,457.0,535.0,0.04,0.59,0.49,127.45,249.41,61.04,216.27,0.59,1.19,0.21,5.59,0.06,SOIL,5.59,0.6,SOILS_9281,319.0,375.0,420.0,464.0,533.0,281.0,337.0,386.0,443.0,513.0,303.0,355.0,404.0,462.0,527.0,346.0,395.0,437.0,504.0,574.0,347.0,394.0,428.0,475.0,547.0,0.04,0.53,0.48,114.39,219.01,75.41,202.37,0.57,1.11,0.2,5.58,0.06,SOILS,5.58,0.6,5.54,0.4,6.05510592460632,0.009999999999999787,0.0,6.1899999999999995,0.46510592460631983,-0.6,6.18,0.4751059246063196,-0.6,5.94,0.5151059246063197,-0.4
10149,0.120000000000001,13.8095744895935,1.45191580057144,SOIL_10149,319.0,374.0,418.0,459.0,513.0,278.0,335.0,385.0,438.0,508.0,300.0,348.0,393.0,451.0,522.0,324.0,378.0,424.0,486.0,553.0,334.0,384.0,426.0,480.0,545.0,0.1,0.98,0.38,96.03,319.89,80.9,278.87,0.34,2.59,0.21,12.29,0.14,SOIL,12.29,1.4000000000000001,SOILS_10149,317.0,374.0,422.0,467.0,533.0,278.0,335.0,384.0,439.0,509.0,298.0,348.0,394.0,452.0,522.0,348.0,399.0,442.0,500.0,567.0,356.0,405.0,444.0,492.0,553.0,0.11,1.02,0.41,100.54,271.48,90.76,249.3,0.4,2.51,0.21,12.26,0.12,SOILS,12.26,1.2,12.34,1.0,13.9295744895935,0.02999999999999936,0.20000000000000018,13.69,1.5195744895935004,-1.2799999999999991,13.459999999999999,1.5495744895934997,-1.079999999999999,13.34,1.4695744895934997,-0.879999999999999
10520,0.11999999999999922,10.3206630992889,1.03052400052547,SOIL_10520,334.0,384.0,425.0,466.0,522.0,293.0,346.0,393.0,446.0,512.0,310.0,358.0,404.0,460.0,524.0,317.0,359.0,440.0,513.0,568.0,320.0,373.0,426.0,487.0,549.0,0.05,0.93,0.49,119.29,237.46,69.45,212.38,0.56,1.9,0.2,9.34,0.09,SOIL,9.34,0.8999999999999999,SOILS_10520,335.0,388.0,431.0,474.0,537.0,299.0,354.0,402.0,455.0,519.0,323.0,370.0,413.0,466.0,526.0,338.0,387.0,437.0,494.0,549.0,344.0,390.0,435.0,490.0,546.0,0.05,0.9,0.47,115.45,220.38,84.34,208.47,0.55,1.9,0.2,9.41,0.1,SOILS,9.41,1.0,9.47,0.8999999999999999,10.4406630992889,-0.07000000000000028,-0.10000000000000009,10.24,0.9806630992889005,-0.7800000000000007,10.41,0.9106630992889002,-0.8800000000000008,10.370000000000001,0.8506630992888997,-0.7800000000000007
10522,0.0,10.4274344444274,1.00015766918659,SOIL_10522,332.0,386.0,429.0,467.0,520.0,287.0,340.0,384.0,434.0,503.0,312.0,361.0,406.0,461.0,525.0,318.0,372.0,434.0,500.0,564.0,323.0,373.0,421.0,480.0,546.0,0.04,1.1,0.54,139.79,212.59,74.75,197.33,0.71,2.03,0.21,9.45,0.08,SOIL,9.45,0.8,SOILS_10522,333.0,389.0,434.0,475.0,531.0,294.0,348.0,394.0,446.0,514.0,324.0,374.0,418.0,469.0,527.0,340.0,383.0,429.0,488.0,544.0,346.0,390.0,432.0,483.0,542.0,0.05,1.11,0.55,139.61,192.56,78.74,185.04,0.75,2.03,0.21,9.58,0.08,SOILS,9.58,0.8,9.75,0.6,10.4274344444274,-0.13000000000000078,0.0,10.25,0.9774344444274004,-0.8,10.38,0.8474344444273996,-0.8,10.35,0.6774344444273996,-0.6
10535,5.279999999999998,18.285809726715,1.86139598488807,SOIL_10535,329.0,386.0,432.0,473.0,527.0,292.0,344.0,392.0,448.0,516.0,307.0,356.0,404.0,459.0,521.0,326.0,377.0,459.0,520.0,577.0,324.0,383.0,440.0,498.0,555.0,0.06,2.28,0.57,166.53,232.8,75.06,212.2,0.78,3.98,0.24,16.49,0.75,SOIL,16.49,7.5,SOILS_10535,333.0,391.0,439.0,481.0,536.0,301.0,354.0,401.0,456.0,520.0,323.0,371.0,416.0,468.0,525.0,342.0,396.0,456.0,507.0,558.0,347.0,398.0,447.0,499.0,554.0,0.07,2.31,0.58,163.91,201.24,86.05,195.52,0.84,4.01,0.24,17.0,0.75,SOILS,17.0,7.5,17.06,7.0,23.565809726715,-0.5100000000000016,0.0,23.99,1.795809726715003,-2.2200000000000024,24.5,1.2858097267150015,-2.2200000000000024,24.06,1.2258097267150028,-1.7200000000000024
10540,0.0,8.48268210887909,0.772000551223754,SOIL_10540,320.0,377.0,423.0,461.0,509.0,285.0,337.0,381.0,433.0,504.0,302.0,354.0,401.0,458.0,525.0,328.0,375.0,427.0,492.0,558.0,325.0,372.0,413.0,470.0,543.0,0.03,1.05,0.58,169.66,230.16,66.86,205.6,0.83,1.81,0.24,7.44,0.06,SOIL,7.44,0.6,SOILS_10540,320.0,378.0,426.0,467.0,521.0,290.0,345.0,391.0,443.0,510.0,318.0,368.0,412.0,464.0,525.0,349.0,392.0,433.0,488.0,547.0,350.0,390.0,424.0,474.0,540.0,0.05,1.18,0.6,179.43,199.26,84.61,193.26,0.93,1.97,0.25,7.9,0.06,SOILS,7.9,0.6,7.7,0.5,8.48268210887909,-0.45999999999999996,0.0,8.040000000000001,1.042682108879089,-0.6,8.5,0.582682108879089,-0.6,8.2,0.7826821088790892,-0.5
10228,0.0,9.96790289878845,0.94578206539154,SOIL_10228,325.0,377.0,417.0,455.0,506.0,289.0,343.0,389.0,440.0,507.0,308.0,357.0,402.0,459.0,525.0,325.0,362.0,399.0,459.0,535.0,319.0,368.0,406.0,461.0,534.0,0.05,0.96,0.5,131.71,247.5,70.44,220.25,0.6,1.91,0.22,8.78,0.08,SOIL,8.78,0.8,SOIL_10228,320.0,372.0,413.0,455.0,520.0,286.0,342.0,391.0,444.0,510.0,313.0,362.0,406.0,460.0,525.0,330.0,374.0,416.0,485.0,567.0,333.0,376.0,414.0,467.0,540.0,0.06,1.05,0.51,136.61,243.53,72.65,218.63,0.62,2.05,0.22,9.25,0.1,SOIL,9.25,1.0,8.93,0.6,9.96790289878845,-0.47000000000000064,-0.19999999999999996,9.58,1.187902898788451,-0.8,10.25,0.7179028987884504,-1.0,9.53,1.0379028987884507,-0.6
